No,species
1,Helix lucorum
2,Helicella derbentina
3,Lumbricus terrestris
4,Armadillium sp.
5,Carabus proceros
6,Potamon tauricum
7,Pieris brassicae
8,Lycaena phleas
9,Inachis io
10,coccinella semptempunctata
11,Pelophylax ridibundus
12,Callopterix splendens
13,Rosa canina
14,crataegus monogyna
15,Carpinus orientalis
16,Fragaria vesca
17,triticum vulgare
18,Iphiclides podalitius
19,Lissotriton vulgaris
20,Rana macrocnemis
21,Parus major
22,Pica pica
23,Corvus cornix
24,Passer domesticus
25,Egretta alba
26,Apodemus witerbyi
